Tipo de interés,Naturaleza de la finca,Periodo,Total,Fecha,Año,Mes,Trimestre
Fijo,Total fincas,2010M3,5.38,2010-03-01,2010,3,1
Fijo,Total fincas,2010M2,5.03,2010-02-01,2010,2,1
Fijo,Total fincas,2010M1,5.66,2010-01-01,2010,1,1
Fijo,Total fincas,2009M12,5.39,2009-12-01,2009,12,4
Fijo,Total fincas,2009M11,5.12,2009-11-01,2009,11,4
Fijo,Total fincas,2009M10,5.16,2009-10-01,2009,10,4
Fijo,Total fincas,2009M9,5.22,2009-09-01,2009,9,3
Fijo,Total fincas,2009M8,5.45,2009-08-01,2009,8,3
Fijo,Total fincas,2009M7,5.67,2009-07-01,2009,7,3
Fijo,Total fincas,2009M6,5.55,2009-06-01,2009,6,2
Fijo,Total fincas,2009M5,5.94,2009-05-01,2009,5,2
Fijo,Total fincas,2009M4,6.01,2009-04-01,2009,4,2
Fijo,Total fincas,2009M3,6.45,2009-03-01,2009,3,1
Fijo,Total fincas,2009M2,6.79,2009-02-01,2009,2,1
Fijo,Total fincas,2009M1,6.64,2009-01-01,2009,1,1
Fijo,Viviendas,2025M3,3.05,2025-03-01,2025,3,1
Fijo,Viviendas,2025M2,3.1,2025-02-01,2025,2,1
Fijo,Viviendas,2025M1,3.17,2025-01-01,2025,1,1
Fijo,Viviendas,2024M12,3.3,2024-12-01,2024,12,4
Fijo,Viviendas,2024M11,3.31,2024-11-01,2024,11,4
Fijo,Viviendas,2024M10,3.32,2024-10-01,2024,10,4
Fijo,Viviendas,2024M9,3.3,2024-09-01,2024,9,3
Fijo,Viviendas,2024M8,3.51,2024-08-01,2024,8,3
Fijo,Viviendas,2024M7,3.32,2024-07-01,2024,7,3
Fijo,Viviendas,2024M6,3.44,2024-06-01,2024,6,2
Fijo,Viviendas,2024M5,3.42,2024-05-01,2024,5,2
Fijo,Viviendas,2024M4,3.51,2024-04-01,2024,4,2
Fijo,Viviendas,2024M3,3.67,2024-03-01,2024,3,1
Fijo,Viviendas,2024M2,3.58,2024-02-01,2024,2,1
Fijo,Viviendas,2024M1,3.63,2024-01-01,2024,1,1
Fijo,Viviendas,2023M12,3.54,2023-12-01,2023,12,4
Fijo,Viviendas,2023M11,3.51,2023-11-01,2023,11,4
Fijo,Viviendas,2023M10,3.57,2023-10-01,2023,10,4
Fijo,Viviendas,2023M9,3.41,2023-09-01,2023,9,3
Fijo,Viviendas,2023M8,3.53,2023-08-01,2023,8,3
Fijo,Viviendas,2023M7,3.48,2023-07-01,2023,7,3
Fijo,Viviendas,2023M6,3.43,2023-06-01,2023,6,2
Fijo,Viviendas,2023M5,3.4,2023-05-01,2023,5,2
Fijo,Viviendas,2023M4,3.28,2023-04-01,2023,4,2
Fijo,Viviendas,2023M3,3.14,2023-03-01,2023,3,1
Fijo,Viviendas,2023M2,2.95,2023-02-01,2023,2,1
Fijo,Viviendas,2023M1,2.79,2023-01-01,2023,1,1
Fijo,Viviendas,2022M12,2.92,2022-12-01,2022,12,4
Fijo,Viviendas,2022M11,2.82,2022-11-01,2022,11,4
Fijo,Viviendas,2022M10,2.26,2022-10-01,2022,10,4
Fijo,Viviendas,2022M9,2.09,2022-09-01,2022,9,3
Fijo,Viviendas,2022M8,1.99,2022-08-01,2022,8,3
Fijo,Viviendas,2022M7,1.93,2022-07-01,2022,7,3
Fijo,Viviendas,2022M6,1.84,2022-06-01,2022,6,2
Fijo,Viviendas,2022M5,1.8,2022-05-01,2022,5,2
Fijo,Viviendas,2022M4,1.75,2022-04-01,2022,4,2
Fijo,Viviendas,2022M3,1.79,2022-03-01,2022,3,1
Fijo,Viviendas,2022M2,1.76,2022-02-01,2022,2,1
Fijo,Viviendas,2022M1,1.81,2022-01-01,2022,1,1
Fijo,Viviendas,2021M12,1.89,2021-12-01,2021,12,4
Fijo,Viviendas,2021M11,1.86,2021-11-01,2021,11,4
Fijo,Viviendas,2021M10,1.8,2021-10-01,2021,10,4
Fijo,Viviendas,2021M9,1.78,2021-09-01,2021,9,3
Fijo,Viviendas,2021M8,1.84,2021-08-01,2021,8,3
Fijo,Viviendas,2021M7,1.88,2021-07-01,2021,7,3
Fijo,Viviendas,2021M6,1.91,2021-06-01,2021,6,2
Fijo,Viviendas,2021M5,1.97,2021-05-01,2021,5,2
Fijo,Viviendas,2021M4,1.99,2021-04-01,2021,4,2
Fijo,Viviendas,2021M3,2.01,2021-03-01,2021,3,1
Fijo,Viviendas,2021M2,2.03,2021-02-01,2021,2,1
Fijo,Viviendas,2021M1,2.1,2021-01-01,2021,1,1
Fijo,Viviendas,2020M12,2.15,2020-12-01,2020,12,4
Fijo,Viviendas,2020M11,2.2,2020-11-01,2020,11,4
Fijo,Viviendas,2020M10,2.25,2020-10-01,2020,10,4
Fijo,Viviendas,2020M9,2.23,2020-09-01,2020,9,3
Fijo,Viviendas,2020M8,2.37,2020-08-01,2020,8,3
Fijo,Viviendas,2020M7,2.29,2020-07-01,2020,7,3
Fijo,Viviendas,2020M6,2.39,2020-06-01,2020,6,2
Fijo,Viviendas,2020M5,2.23,2020-05-01,2020,5,2
Fijo,Viviendas,2020M4,2.28,2020-04-01,2020,4,2
Fijo,Viviendas,2020M3,2.34,2020-03-01,2020,3,1
Fijo,Viviendas,2020M2,2.44,2020-02-01,2020,2,1
Fijo,Viviendas,2020M1,2.47,2020-01-01,2020,1,1
Fijo,Viviendas,2019M12,3.05,2019-12-01,2019,12,4
Fijo,Viviendas,2019M11,2.99,2019-11-01,2019,11,4
Fijo,Viviendas,2019M10,3.01,2019-10-01,2019,10,4
Fijo,Viviendas,2019M9,3.09,2019-09-01,2019,9,3
Fijo,Viviendas,2019M8,3.0,2019-08-01,2019,8,3
Fijo,Viviendas,2019M7,3.05,2019-07-01,2019,7,3
Fijo,Viviendas,2019M6,3.0,2019-06-01,2019,6,2
Fijo,Viviendas,2019M5,3.11,2019-05-01,2019,5,2
Fijo,Viviendas,2019M4,3.09,2019-04-01,2019,4,2
Fijo,Viviendas,2019M3,3.11,2019-03-01,2019,3,1
Fijo,Viviendas,2019M2,3.05,2019-02-01,2019,2,1
Fijo,Viviendas,2019M1,3.09,2019-01-01,2019,1,1
Fijo,Viviendas,2018M12,2.98,2018-12-01,2018,12,4
Fijo,Viviendas,2018M11,3.0,2018-11-01,2018,11,4
Fijo,Viviendas,2018M10,3.02,2018-10-01,2018,10,4
Fijo,Viviendas,2018M9,3.03,2018-09-01,2018,9,3
Fijo,Viviendas,2018M8,3.01,2018-08-01,2018,8,3
Fijo,Viviendas,2018M7,3.01,2018-07-01,2018,7,3
Fijo,Viviendas,2018M6,3.05,2018-06-01,2018,6,2
Fijo,Viviendas,2018M5,3.05,2018-05-01,2018,5,2
Fijo,Viviendas,2018M4,3.15,2018-04-01,2018,4,2
Fijo,Viviendas,2018M3,3.06,2018-03-01,2018,3,1
Fijo,Viviendas,2018M2,3.04,2018-02-01,2018,2,1
Fijo,Viviendas,2018M1,3.04,2018-01-01,2018,1,1
Fijo,Viviendas,2017M12,3.13,2017-12-01,2017,12,4
Fijo,Viviendas,2017M11,3.11,2017-11-01,2017,11,4
Fijo,Viviendas,2017M10,3.11,2017-10-01,2017,10,4
Fijo,Viviendas,2017M9,3.21,2017-09-01,2017,9,3
Fijo,Viviendas,2017M8,3.09,2017-08-01,2017,8,3
Fijo,Viviendas,2017M7,3.12,2017-07-01,2017,7,3
Fijo,Viviendas,2017M6,3.14,2017-06-01,2017,6,2
Fijo,Viviendas,2017M5,3.06,2017-05-01,2017,5,2
Fijo,Viviendas,2017M4,3.36,2017-04-01,2017,4,2
Fijo,Viviendas,2017M3,3.27,2017-03-01,2017,3,1
Fijo,Viviendas,2017M2,3.2,2017-02-01,2017,2,1
Fijo,Viviendas,2017M1,3.21,2017-01-01,2017,1,1
Fijo,Viviendas,2016M12,3.24,2016-12-01,2016,12,4
Fijo,Viviendas,2016M11,3.2,2016-11-01,2016,11,4
Fijo,Viviendas,2016M10,3.21,2016-10-01,2016,10,4
Fijo,Viviendas,2016M9,3.31,2016-09-01,2016,9,3
Fijo,Viviendas,2016M8,3.28,2016-08-01,2016,8,3
Fijo,Viviendas,2016M7,3.58,2016-07-01,2016,7,3
Fijo,Viviendas,2016M6,3.4,2016-06-01,2016,6,2
Fijo,Viviendas,2016M5,3.49,2016-05-01,2016,5,2
Fijo,Viviendas,2016M4,3.66,2016-04-01,2016,4,2
Fijo,Viviendas,2016M3,3.87,2016-03-01,2016,3,1
Fijo,Viviendas,2016M2,4.06,2016-02-01,2016,2,1
Fijo,Viviendas,2016M1,4.12,2016-01-01,2016,1,1
Fijo,Viviendas,2015M12,3.95,2015-12-01,2015,12,4
Fijo,Viviendas,2015M11,4.08,2015-11-01,2015,11,4
Fijo,Viviendas,2015M10,3.97,2015-10-01,2015,10,4
Fijo,Viviendas,2015M9,4.1,2015-09-01,2015,9,3
Fijo,Viviendas,2015M8,4.3,2015-08-01,2015,8,3
Fijo,Viviendas,2015M7,4.26,2015-07-01,2015,7,3
Fijo,Viviendas,2015M6,5.02,2015-06-01,2015,6,2
Fijo,Viviendas,2015M5,4.8,2015-05-01,2015,5,2
Fijo,Viviendas,2015M4,5.09,2015-04-01,2015,4,2
Fijo,Viviendas,2015M3,5.22,2015-03-01,2015,3,1
Fijo,Viviendas,2015M2,5.07,2015-02-01,2015,2,1
Fijo,Viviendas,2015M1,5.31,2015-01-01,2015,1,1
Fijo,Viviendas,2014M12,5.68,2014-12-01,2014,12,4
Fijo,Viviendas,2014M11,5.63,2014-11-01,2014,11,4
Fijo,Viviendas,2014M10,5.46,2014-10-01,2014,10,4
Fijo,Viviendas,2014M9,5.16,2014-09-01,2014,9,3
Fijo,Viviendas,2014M8,5.27,2014-08-01,2014,8,3
Fijo,Viviendas,2014M7,5.67,2014-07-01,2014,7,3
Fijo,Viviendas,2014M6,5.42,2014-06-01,2014,6,2
Fijo,Viviendas,2014M5,5.8,2014-05-01,2014,5,2
Fijo,Viviendas,2014M4,5.71,2014-04-01,2014,4,2
Fijo,Viviendas,2014M3,5.67,2014-03-01,2014,3,1
Fijo,Viviendas,2014M2,5.6,2014-02-01,2014,2,1
Fijo,Viviendas,2014M1,5.9,2014-01-01,2014,1,1
Fijo,Viviendas,2013M12,5.52,2013-12-01,2013,12,4
Fijo,Viviendas,2013M11,6.05,2013-11-01,2013,11,4
Fijo,Viviendas,2013M10,5.82,2013-10-01,2013,10,4
Fijo,Viviendas,2013M9,5.38,2013-09-01,2013,9,3
Fijo,Viviendas,2013M8,5.97,2013-08-01,2013,8,3
Fijo,Viviendas,2013M7,5.52,2013-07-01,2013,7,3
Fijo,Viviendas,2013M6,5.68,2013-06-01,2013,6,2
Fijo,Viviendas,2013M5,5.82,2013-05-01,2013,5,2
Fijo,Viviendas,2013M4,6.14,2013-04-01,2013,4,2
Fijo,Viviendas,2013M3,5.85,2013-03-01,2013,3,1
Fijo,Viviendas,2013M2,5.1,2013-02-01,2013,2,1
Fijo,Viviendas,2013M1,5.53,2013-01-01,2013,1,1
Fijo,Viviendas,2012M12,5.75,2012-12-01,2012,12,4
Fijo,Viviendas,2012M11,5.75,2012-11-01,2012,11,4
Fijo,Viviendas,2012M10,5.61,2012-10-01,2012,10,4
Fijo,Viviendas,2012M9,4.52,2012-09-01,2012,9,3
Fijo,Viviendas,2012M8,5.04,2012-08-01,2012,8,3
Fijo,Viviendas,2012M7,5.3,2012-07-01,2012,7,3
Fijo,Viviendas,2012M6,5.4,2012-06-01,2012,6,2
Fijo,Viviendas,2012M5,5.33,2012-05-01,2012,5,2
Fijo,Viviendas,2012M4,5.5,2012-04-01,2012,4,2
Fijo,Viviendas,2012M3,5.33,2012-03-01,2012,3,1
Fijo,Viviendas,2012M2,5.29,2012-02-01,2012,2,1
Fijo,Viviendas,2012M1,4.9,2012-01-01,2012,1,1
Fijo,Viviendas,2011M12,5.15,2011-12-01,2011,12,4
Fijo,Viviendas,2011M11,4.69,2011-11-01,2011,11,4
Fijo,Viviendas,2011M10,5.26,2011-10-01,2011,10,4
Fijo,Viviendas,2011M9,4.68,2011-09-01,2011,9,3
Fijo,Viviendas,2011M8,5.2,2011-08-01,2011,8,3
Fijo,Viviendas,2011M7,5.09,2011-07-01,2011,7,3
Fijo,Viviendas,2011M6,5.22,2011-06-01,2011,6,2
Fijo,Viviendas,2011M5,4.82,2011-05-01,2011,5,2
Fijo,Viviendas,2011M4,5.52,2011-04-01,2011,4,2
Fijo,Viviendas,2011M3,5.0,2011-03-01,2011,3,1
Fijo,Viviendas,2011M2,4.76,2011-02-01,2011,2,1
Fijo,Viviendas,2011M1,4.87,2011-01-01,2011,1,1
Fijo,Viviendas,2010M12,5.13,2010-12-01,2010,12,4
Fijo,Viviendas,2010M11,4.94,2010-11-01,2010,11,4
Fijo,Viviendas,2010M10,5.08,2010-10-01,2010,10,4
Fijo,Viviendas,2010M9,5.36,2010-09-01,2010,9,3
Fijo,Viviendas,2010M8,5.13,2010-08-01,2010,8,3
Fijo,Viviendas,2010M7,5.05,2010-07-01,2010,7,3
Fijo,Viviendas,2010M6,5.24,2010-06-01,2010,6,2
Fijo,Viviendas,2010M5,5.11,2010-05-01,2010,5,2
Fijo,Viviendas,2010M4,5.1,2010-04-01,2010,4,2
Fijo,Viviendas,2010M3,4.97,2010-03-01,2010,3,1
Fijo,Viviendas,2010M2,5.49,2010-02-01,2010,2,1
Fijo,Viviendas,2010M1,4.69,2010-01-01,2010,1,1
Fijo,Viviendas,2009M12,5.03,2009-12-01,2009,12,4
Fijo,Viviendas,2009M11,5.25,2009-11-01,2009,11,4
Fijo,Viviendas,2009M10,5.29,2009-10-01,2009,10,4
Fijo,Viviendas,2009M9,5.24,2009-09-01,2009,9,3
Fijo,Viviendas,2009M8,5.72,2009-08-01,2009,8,3
Fijo,Viviendas,2009M7,5.11,2009-07-01,2009,7,3
Fijo,Viviendas,2009M6,5.37,2009-06-01,2009,6,2
Fijo,Viviendas,2009M5,6.01,2009-05-01,2009,5,2
Fijo,Viviendas,2009M4,6.1,2009-04-01,2009,4,2
Fijo,Viviendas,2009M3,6.74,2009-03-01,2009,3,1
Fijo,Viviendas,2009M2,6.47,2009-02-01,2009,2,1
Fijo,Viviendas,2009M1,6.18,2009-01-01,2009,1,1
Variable,Total fincas,2025M3,3.2,2025-03-01,2025,3,1
Variable,Total fincas,2025M2,2.97,2025-02-01,2025,2,1
Variable,Total fincas,2025M1,3.29,2025-01-01,2025,1,1
Variable,Total fincas,2024M12,3.4,2024-12-01,2024,12,4
Variable,Total fincas,2024M11,3.7,2024-11-01,2024,11,4
Variable,Total fincas,2024M10,3.26,2024-10-01,2024,10,4
Variable,Total fincas,2024M9,3.28,2024-09-01,2024,9,3
Variable,Total fincas,2024M8,3.65,2024-08-01,2024,8,3
Variable,Total fincas,2024M7,3.39,2024-07-01,2024,7,3
Variable,Total fincas,2024M6,3.52,2024-06-01,2024,6,2
Variable,Total fincas,2024M5,3.45,2024-05-01,2024,5,2
Variable,Total fincas,2024M4,3.49,2024-04-01,2024,4,2
Variable,Total fincas,2024M3,3.59,2024-03-01,2024,3,1
Variable,Total fincas,2024M2,3.45,2024-02-01,2024,2,1
Variable,Total fincas,2024M1,3.87,2024-01-01,2024,1,1
Variable,Total fincas,2023M12,3.47,2023-12-01,2023,12,4
Variable,Total fincas,2023M11,3.42,2023-11-01,2023,11,4
Variable,Total fincas,2023M10,3.53,2023-10-01,2023,10,4
Variable,Total fincas,2023M9,3.27,2023-09-01,2023,9,3
Variable,Total fincas,2023M8,3.37,2023-08-01,2023,8,3
Variable,Total fincas,2023M7,3.31,2023-07-01,2023,7,3
Variable,Total fincas,2023M6,3.25,2023-06-01,2023,6,2
Variable,Total fincas,2023M5,3.24,2023-05-01,2023,5,2
Variable,Total fincas,2023M4,3.18,2023-04-01,2023,4,2
Variable,Total fincas,2023M3,3.13,2023-03-01,2023,3,1
Variable,Total fincas,2023M2,2.95,2023-02-01,2023,2,1
Variable,Total fincas,2023M1,2.73,2023-01-01,2023,1,1
Variable,Total fincas,2022M12,2.27,2022-12-01,2022,12,4
Variable,Total fincas,2022M11,2.43,2022-11-01,2022,11,4
Variable,Total fincas,2022M10,2.11,2022-10-01,2022,10,4
Variable,Total fincas,2022M9,1.95,2022-09-01,2022,9,3
Variable,Total fincas,2022M8,2.18,2022-08-01,2022,8,3
Variable,Total fincas,2022M7,2.21,2022-07-01,2022,7,3
Variable,Total fincas,2022M6,1.91,2022-06-01,2022,6,2
Variable,Total fincas,2022M5,1.92,2022-05-01,2022,5,2
Variable,Total fincas,2022M4,2.03,2022-04-01,2022,4,2
Variable,Total fincas,2022M3,1.96,2022-03-01,2022,3,1
Variable,Total fincas,2022M2,2.02,2022-02-01,2022,2,1
Variable,Total fincas,2022M1,1.97,2022-01-01,2022,1,1
Variable,Total fincas,2021M12,2.08,2021-12-01,2021,12,4
Variable,Total fincas,2021M11,2.01,2021-11-01,2021,11,4
Variable,Total fincas,2021M10,2.15,2021-10-01,2021,10,4
Variable,Total fincas,2021M9,1.95,2021-09-01,2021,9,3
Variable,Total fincas,2021M8,1.97,2021-08-01,2021,8,3
Variable,Total fincas,2021M7,1.96,2021-07-01,2021,7,3
Variable,Total fincas,2021M6,2.02,2021-06-01,2021,6,2
Variable,Total fincas,2021M5,2.15,2021-05-01,2021,5,2
Variable,Total fincas,2021M4,2.13,2021-04-01,2021,4,2
Variable,Total fincas,2021M3,2.32,2021-03-01,2021,3,1
Variable,Total fincas,2021M2,2.02,2021-02-01,2021,2,1
Variable,Total fincas,2021M1,1.86,2021-01-01,2021,1,1
Variable,Total fincas,2020M12,2.24,2020-12-01,2020,12,4
Variable,Total fincas,2020M11,1.99,2020-11-01,2020,11,4
Variable,Total fincas,2020M10,2.18,2020-10-01,2020,10,4
Variable,Total fincas,2020M9,1.95,2020-09-01,2020,9,3
Variable,Total fincas,2020M8,2.09,2020-08-01,2020,8,3
Variable,Total fincas,2020M7,2.64,2020-07-01,2020,7,3
Variable,Total fincas,2020M6,2.01,2020-06-01,2020,6,2
Variable,Total fincas,2020M5,2.1,2020-05-01,2020,5,2
Variable,Total fincas,2020M4,2.08,2020-04-01,2020,4,2
Variable,Total fincas,2020M3,2.26,2020-03-01,2020,3,1
Variable,Total fincas,2020M2,2.42,2020-02-01,2020,2,1
Variable,Total fincas,2020M1,2.09,2020-01-01,2020,1,1
Variable,Total fincas,2019M12,2.13,2019-12-01,2019,12,4
Variable,Total fincas,2019M11,2.08,2019-11-01,2019,11,4
Variable,Total fincas,2019M10,2.1,2019-10-01,2019,10,4
Variable,Total fincas,2019M9,2.13,2019-09-01,2019,9,3
Variable,Total fincas,2019M8,2.23,2019-08-01,2019,8,3
Variable,Total fincas,2019M7,2.15,2019-07-01,2019,7,3
Variable,Total fincas,2019M6,2.26,2019-06-01,2019,6,2
Variable,Total fincas,2019M5,2.21,2019-05-01,2019,5,2
Variable,Total fincas,2019M4,2.19,2019-04-01,2019,4,2
Variable,Total fincas,2019M3,2.28,2019-03-01,2019,3,1
Variable,Total fincas,2019M2,2.33,2019-02-01,2019,2,1
Variable,Total fincas,2019M1,2.44,2019-01-01,2019,1,1
Variable,Total fincas,2018M12,2.2,2018-12-01,2018,12,4
Variable,Total fincas,2018M11,2.43,2018-11-01,2018,11,4
Variable,Total fincas,2018M10,2.35,2018-10-01,2018,10,4
Variable,Total fincas,2018M9,2.35,2018-09-01,2018,9,3
Variable,Total fincas,2018M8,2.28,2018-08-01,2018,8,3
Variable,Total fincas,2018M7,2.31,2018-07-01,2018,7,3
Variable,Total fincas,2018M6,2.28,2018-06-01,2018,6,2
Variable,Total fincas,2018M5,2.37,2018-05-01,2018,5,2
Variable,Total fincas,2018M4,2.38,2018-04-01,2018,4,2
Variable,Total fincas,2018M3,2.44,2018-03-01,2018,3,1
Variable,Total fincas,2018M2,2.37,2018-02-01,2018,2,1
Variable,Total fincas,2018M1,2.36,2018-01-01,2018,1,1
Variable,Total fincas,2017M12,2.39,2017-12-01,2017,12,4
Variable,Total fincas,2017M11,2.44,2017-11-01,2017,11,4
Variable,Total fincas,2017M10,2.44,2017-10-01,2017,10,4
Variable,Total fincas,2017M9,2.47,2017-09-01,2017,9,3
Variable,Total fincas,2017M8,2.44,2017-08-01,2017,8,3
Variable,Total fincas,2017M7,2.5,2017-07-01,2017,7,3
Variable,Total fincas,2017M6,2.46,2017-06-01,2017,6,2
Variable,Total fincas,2017M5,2.66,2017-05-01,2017,5,2
Variable,Total fincas,2017M4,2.99,2017-04-01,2017,4,2
Variable,Total fincas,2017M3,3.22,2017-03-01,2017,3,1
Variable,Total fincas,2017M2,2.94,2017-02-01,2017,2,1
Variable,Total fincas,2017M1,3.27,2017-01-01,2017,1,1
Variable,Total fincas,2016M12,3.08,2016-12-01,2016,12,4
Variable,Total fincas,2016M11,2.94,2016-11-01,2016,11,4
Variable,Total fincas,2016M10,2.99,2016-10-01,2016,10,4
Variable,Total fincas,2016M9,2.95,2016-09-01,2016,9,3
Variable,Total fincas,2016M8,3.0,2016-08-01,2016,8,3
Variable,Total fincas,2016M7,3.06,2016-07-01,2016,7,3
Variable,Total fincas,2016M6,3.01,2016-06-01,2016,6,2
Variable,Total fincas,2016M5,3.11,2016-05-01,2016,5,2
Variable,Total fincas,2016M4,3.14,2016-04-01,2016,4,2
Variable,Total fincas,2016M3,3.08,2016-03-01,2016,3,1
Variable,Total fincas,2016M2,3.13,2016-02-01,2016,2,1
Variable,Total fincas,2016M1,3.11,2016-01-01,2016,1,1
Variable,Total fincas,2015M12,3.33,2015-12-01,2015,12,4
Variable,Total fincas,2015M11,2.99,2015-11-01,2015,11,4
Variable,Total fincas,2015M10,2.98,2015-10-01,2015,10,4
Variable,Total fincas,2015M9,3.12,2015-09-01,2015,9,3
Variable,Total fincas,2015M8,3.01,2015-08-01,2015,8,3
Variable,Total fincas,2015M7,3.14,2015-07-01,2015,7,3
Variable,Total fincas,2015M6,2.99,2015-06-01,2015,6,2
Variable,Total fincas,2015M5,3.13,2015-05-01,2015,5,2
Variable,Total fincas,2015M4,2.99,2015-04-01,2015,4,2
Variable,Total fincas,2015M3,3.24,2015-03-01,2015,3,1
Variable,Total fincas,2015M2,3.22,2015-02-01,2015,2,1
Variable,Total fincas,2015M1,3.18,2015-01-01,2015,1,1
Variable,Total fincas,2014M12,3.32,2014-12-01,2014,12,4
Variable,Total fincas,2014M11,3.35,2014-11-01,2014,11,4
Variable,Total fincas,2014M10,3.58,2014-10-01,2014,10,4
Variable,Total fincas,2014M9,3.64,2014-09-01,2014,9,3
Variable,Total fincas,2014M8,3.84,2014-08-01,2014,8,3
Variable,Total fincas,2014M7,3.69,2014-07-01,2014,7,3
Variable,Total fincas,2014M6,3.68,2014-06-01,2014,6,2
Variable,Total fincas,2014M5,3.72,2014-05-01,2014,5,2
Variable,Total fincas,2014M4,3.75,2014-04-01,2014,4,2
Variable,Total fincas,2014M3,3.83,2014-03-01,2014,3,1
Variable,Total fincas,2014M2,3.89,2014-02-01,2014,2,1
Variable,Total fincas,2014M1,3.69,2014-01-01,2014,1,1
Variable,Total fincas,2013M12,3.99,2013-12-01,2013,12,4
Variable,Total fincas,2013M11,4.16,2013-11-01,2013,11,4
Variable,Total fincas,2013M10,3.92,2013-10-01,2013,10,4
Variable,Total fincas,2013M9,4.03,2013-09-01,2013,9,3
Variable,Total fincas,2013M8,3.9,2013-08-01,2013,8,3
Variable,Total fincas,2013M7,3.9,2013-07-01,2013,7,3
Variable,Total fincas,2013M6,4.05,2013-06-01,2013,6,2
Variable,Total fincas,2013M5,3.7,2013-05-01,2013,5,2
Variable,Total fincas,2013M4,4.08,2013-04-01,2013,4,2
Variable,Total fincas,2013M3,4.06,2013-03-01,2013,3,1
Variable,Total fincas,2013M2,4.03,2013-02-01,2013,2,1
Variable,Total fincas,2013M1,3.95,2013-01-01,2013,1,1
Variable,Total fincas,2012M12,4.1,2012-12-01,2012,12,4
Variable,Total fincas,2012M11,4.06,2012-11-01,2012,11,4
Variable,Total fincas,2012M10,4.0,2012-10-01,2012,10,4
Variable,Total fincas,2012M9,3.99,2012-09-01,2012,9,3
Variable,Total fincas,2012M8,3.96,2012-08-01,2012,8,3
Variable,Total fincas,2012M7,4.04,2012-07-01,2012,7,3
Variable,Total fincas,2012M6,4.06,2012-06-01,2012,6,2
Variable,Total fincas,2012M5,4.06,2012-05-01,2012,5,2
Variable,Total fincas,2012M4,4.11,2012-04-01,2012,4,2
Variable,Total fincas,2012M3,4.1,2012-03-01,2012,3,1
Variable,Total fincas,2012M2,4.12,2012-02-01,2012,2,1
Variable,Total fincas,2012M1,4.13,2012-01-01,2012,1,1
Variable,Total fincas,2011M12,4.06,2011-12-01,2011,12,4
Variable,Total fincas,2011M11,4.23,2011-11-01,2011,11,4
Variable,Total fincas,2011M10,3.98,2011-10-01,2011,10,4
Variable,Total fincas,2011M9,3.99,2011-09-01,2011,9,3
Variable,Total fincas,2011M8,4.0,2011-08-01,2011,8,3
Variable,Total fincas,2011M7,3.94,2011-07-01,2011,7,3
Variable,Total fincas,2011M6,3.97,2011-06-01,2011,6,2
Variable,Total fincas,2011M5,3.72,2011-05-01,2011,5,2
Variable,Total fincas,2011M4,3.69,2011-04-01,2011,4,2
Variable,Total fincas,2011M3,3.65,2011-03-01,2011,3,1
Variable,Total fincas,2011M2,3.48,2011-02-01,2011,2,1
Variable,Total fincas,2011M1,3.51,2011-01-01,2011,1,1
Variable,Total fincas,2010M12,3.6,2010-12-01,2010,12,4
Variable,Total fincas,2010M11,3.62,2010-11-01,2010,11,4
Variable,Total fincas,2010M10,3.47,2010-10-01,2010,10,4
Variable,Total fincas,2010M9,3.44,2010-09-01,2010,9,3
Variable,Total fincas,2010M8,3.5,2010-08-01,2010,8,3
Variable,Total fincas,2010M7,3.42,2010-07-01,2010,7,3
Variable,Total fincas,2010M6,3.55,2010-06-01,2010,6,2
Variable,Total fincas,2010M5,3.54,2010-05-01,2010,5,2
Variable,Total fincas,2010M4,3.57,2010-04-01,2010,4,2
Variable,Total fincas,2010M3,3.58,2010-03-01,2010,3,1
Variable,Total fincas,2010M2,3.65,2010-02-01,2010,2,1
Variable,Total fincas,2010M1,3.66,2010-01-01,2010,1,1
Variable,Total fincas,2009M12,3.78,2009-12-01,2009,12,4
Variable,Total fincas,2009M11,3.72,2009-11-01,2009,11,4
Variable,Total fincas,2009M10,3.77,2009-10-01,2009,10,4
Variable,Total fincas,2009M9,3.9,2009-09-01,2009,9,3
Variable,Total fincas,2009M8,3.89,2009-08-01,2009,8,3
Variable,Total fincas,2009M7,4.04,2009-07-01,2009,7,3
Variable,Total fincas,2009M6,4.19,2009-06-01,2009,6,2
Variable,Total fincas,2009M5,4.22,2009-05-01,2009,5,2
Variable,Total fincas,2009M4,4.3,2009-04-01,2009,4,2
Variable,Total fincas,2009M3,4.78,2009-03-01,2009,3,1
Variable,Total fincas,2009M2,5.1,2009-02-01,2009,2,1
Variable,Total fincas,2009M1,5.31,2009-01-01,2009,1,1
Variable,Viviendas,2025M3,2.82,2025-03-01,2025,3,1
Variable,Viviendas,2025M2,2.73,2025-02-01,2025,2,1
Variable,Viviendas,2025M1,2.94,2025-01-01,2025,1,1
Variable,Viviendas,2024M12,3.16,2024-12-01,2024,12,4
Variable,Viviendas,2024M11,3.23,2024-11-01,2024,11,4
Variable,Viviendas,2024M10,2.83,2024-10-01,2024,10,4
Variable,Viviendas,2024M9,2.92,2024-09-01,2024,9,3
Variable,Viviendas,2024M8,3.02,2024-08-01,2024,8,3
Variable,Viviendas,2024M7,2.99,2024-07-01,2024,7,3
Variable,Viviendas,2024M6,3.06,2024-06-01,2024,6,2
Variable,Viviendas,2024M5,3.07,2024-05-01,2024,5,2
